date,close,open,high,low
2012-04-09,81.64,81.30,81.67,81.23
2012-04-10,80.68,81.65,81.86,80.65
2012-04-11,81.00,80.68,81.12,80.59
2012-04-12,80.94,81.00,81.13,80.74
2012-04-13,80.92,80.95,81.19,80.83
2012-04-16,80.41,80.92,81.00,80.30
2012-04-17,81.06,80.41,81.11,80.37
2012-04-18,81.32,81.07,81.56,81.01
2012-04-19,81.63,81.32,81.74,81.27
2012-04-20,81.52,81.63,81.78,81.48
2012-04-23,81.09,81.60,81.60,80.97
2012-04-24,81.40,81.09,81.44,80.86
2012-04-25,81.32,81.40,81.69,81.08
2012-04-26,81.07,81.32,81.42,80.67
2012-04-27,80.27,81.07,81.44,80.22
2012-04-30,79.94,80.36,80.37,79.74
2012-05-01,80.23,79.94,80.30,79.64
2012-05-02,80.14,80.23,80.61,80.06
2012-05-03,80.23,80.14,80.55,80.11
2012-05-04,79.85,80.17,80.35,79.78
2012-05-07,79.91,79.75,79.99,79.64
2012-05-08,79.88,79.88,80.07,79.68
2012-05-09,79.64,79.89,79.93,79.41
2012-05-10,79.92,79.65,80.02,79.58
2012-05-11,79.96,79.86,80.00,79.71
2012-05-14,79.90,79.95,80.18,79.66
2012-05-15,80.19,79.83,80.33,79.78
2012-05-16,80.31,80.18,80.55,80.17
2012-05-17,79.35,80.30,80.39,79.12
2012-05-18,79.03,79.32,79.45,78.97
2012-05-21,79.31,79.17,79.45,79.08
2012-05-22,79.98,79.28,80.14,79.25
2012-05-23,79.47,79.95,80.07,79.20
2012-05-24,79.57,79.46,79.63,79.31
2012-05-25,79.68,79.56,79.81,79.47
2012-05-28,79.47,79.66,79.66,79.31
2012-05-29,79.52,79.45,79.63,79.36
2012-05-30,79.09,79.52,79.56,78.85
2012-05-31,78.36,79.08,79.13,78.20
2012-06-01,78.02,78.35,78.64,77.65
2012-06-04,78.34,78.07,78.41,77.96
2012-06-05,78.77,78.31,78.84,78.09
2012-06-06,79.23,78.71,79.26,78.58
2012-06-07,79.64,79.22,79.78,79.18
2012-06-08,79.49,79.66,79.75,79.09
2012-06-11,79.42,79.55,79.71,79.34
2012-06-12,79.54,79.39,79.68,79.13
2012-06-13,79.41,79.54,79.74,79.27
2012-06-14,79.39,79.41,79.47,79.14
2012-06-15,78.72,79.39,79.51,78.59
2012-06-18,79.12,78.90,79.29,78.84
2012-06-19,78.94,79.10,79.11,78.83
2012-06-20,79.52,78.99,79.67,78.77
2012-06-21,80.27,79.45,80.33,79.36
2012-06-22,80.42,80.21,80.56,79.99
2012-06-25,79.67,80.46,80.59,79.41
2012-06-26,79.50,79.61,79.78,79.22
2012-06-27,79.71,79.50,79.87,79.32
2012-06-28,79.45,79.67,79.75,79.21
2012-06-29,79.81,79.41,79.99,79.14
2012-07-02,79.50,79.89,79.96,79.29
2012-07-03,79.84,79.48,79.93,79.40
2012-07-04,79.84,79.80,79.89,79.56
2012-07-05,79.89,79.86,80.09,79.54
2012-07-06,79.67,79.91,80.01,79.48
2012-07-09,79.58,79.65,79.74,79.41
2012-07-10,79.44,79.54,79.59,79.18
2012-07-11,79.75,79.40,79.78,79.11
2012-07-12,79.30,79.72,79.94,79.16
2012-07-13,79.22,79.27,79.39,79.07
2012-07-16,78.86,79.23,79.28,78.67
2012-07-17,79.07,78.85,79.17,78.77
2012-07-18,78.81,79.03,79.14,78.74
2012-07-19,78.59,78.78,78.82,78.42
2012-07-20,78.49,78.57,78.80,78.42
2012-07-23,78.39,78.43,78.52,77.95
2012-07-24,78.19,78.37,78.38,78.08
2012-07-25,78.17,78.16,78.27,78.04
2012-07-26,78.22,78.15,78.31,78.01
2012-07-27,78.42,78.21,78.67,78.05
2012-07-30,78.18,78.44,78.54,78.10
2012-07-31,78.13,78.17,78.30,78.02
2012-08-01,78.44,78.10,78.50,77.91
2012-08-02,78.23,78.44,78.53,78.11
2012-08-03,78.48,78.23,78.77,78.03
2012-08-06,78.25,78.46,78.63,78.13
2012-08-07,78.61,78.24,78.73,78.12
2012-08-08,78.42,78.59,78.65,78.21
2012-08-09,78.56,78.41,78.79,78.27
2012-08-10,78.28,78.55,78.64,78.14
2012-08-13,78.32,78.22,78.37,78.14
2012-08-14,78.73,78.30,78.93,78.28
2012-08-15,79.00,78.72,79.04,78.57
2012-08-16,79.34,78.99,79.39,78.89
2012-08-17,79.56,79.31,79.57,79.20
2012-08-20,79.42,79.48,79.66,79.30
2012-08-21,79.28,79.40,79.52,79.20
2012-08-22,78.58,79.26,79.36,78.33
2012-08-23,78.48,78.56,78.69,78.34
2012-08-24,78.67,78.46,78.72,78.43
2012-08-27,78.75,78.64,78.84,78.61
2012-08-28,78.51,78.74,78.77,78.43
2012-08-29,78.70,78.49,78.78,78.46
2012-08-30,78.62,78.68,78.74,78.46
2012-08-31,78.39,78.60,78.65,78.18
2012-09-03,78.26,78.37,78.39,78.18
2012-09-04,78.42,78.24,78.46,78.23
2012-09-05,78.39,78.39,78.53,78.29
2012-09-06,78.86,78.36,79.02,78.36
2012-09-07,78.27,78.85,79.01,78.00
2012-09-10,78.28,78.22,78.33,78.15
2012-09-11,77.77,78.27,78.28,77.67
2012-09-12,77.85,77.76,77.96,77.71
2012-09-13,77.49,77.83,77.87,77.11
2012-09-14,78.39,77.47,78.39,77.44
2012-09-17,78.70,78.37,78.92,78.14
2012-09-18,78.82,78.70,78.87,78.49
2012-09-19,78.38,78.80,79.21,78.24
2012-09-20,78.25,78.36,78.46,78.00
2012-09-21,78.17,78.23,78.37,78.08
2012-09-24,77.86,78.15,78.17,77.79
2012-09-25,77.80,77.85,77.92,77.64
2012-09-26,77.75,77.78,77.88,77.57
2012-09-27,77.61,77.73,77.75,77.55
2012-09-28,77.92,77.57,78.10,77.41
2012-10-01,78.00,77.89,78.14,77.77
2012-10-02,78.16,77.98,78.21,77.95
2012-10-03,78.50,78.14,78.58,78.11
2012-10-04,78.48,78.48,78.71,78.29
2012-10-05,78.67,78.46,78.87,78.26
2012-10-08,78.33,78.66,78.76,78.06
2012-10-09,78.25,78.32,78.43,78.14
2012-10-10,78.19,78.25,78.37,78.11
2012-10-11,78.33,78.18,78.58,77.92
2012-10-12,78.44,78.31,78.53,78.27
2012-10-15,78.64,78.39,78.86,78.30
2012-10-16,78.89,78.62,78.96,78.61
2012-10-17,78.94,78.88,79.04,78.59
2012-10-18,79.28,78.91,79.45,78.90
2012-10-19,79.32,79.26,79.43,79.11
2012-10-22,79.94,79.30,79.96,79.19
2012-10-23,79.86,79.94,79.99,79.69
2012-10-24,79.81,79.84,79.91,79.68
2012-10-25,80.30,79.78,80.34,79.74
2012-10-26,79.65,80.29,80.36,79.48
2012-10-29,79.81,79.63,79.84,79.51
2012-10-30,79.64,79.78,79.99,79.25
2012-10-31,79.77,79.60,79.95,79.49
2012-11-01,80.14,79.76,80.20,79.75
2012-11-02,80.47,80.12,80.67,80.10
2012-11-05,80.29,80.27,80.56,80.12
2012-11-06,80.36,80.28,80.44,79.95
2012-11-07,80.00,80.35,80.40,79.76
2012-11-08,79.47,79.98,80.00,79.31
2012-11-09,79.50,79.45,79.60,79.06
2012-11-12,79.50,79.46,79.56,79.34
2012-11-13,79.39,79.49,79.64,79.18
2012-11-14,80.25,79.38,80.30,79.36
2012-11-15,81.16,80.22,81.45,80.11
2012-11-16,81.30,81.14,81.44,80.87
2012-11-19,81.42,81.26,81.56,81.06
2012-11-20,81.67,81.41,81.75,81.11
2012-11-21,82.53,81.67,82.55,81.63
2012-11-22,82.47,82.51,82.82,82.25
2012-11-23,82.42,82.45,82.48,82.05
2012-11-26,82.07,82.39,82.62,81.90
2012-11-27,82.14,82.05,82.31,81.83
2012-11-28,82.07,82.12,82.21,81.67
2012-11-29,82.12,82.07,82.21,81.89
2012-11-30,82.48,82.10,82.74,82.02
2012-12-03,82.25,82.35,82.50,81.97
2012-12-04,81.89,82.23,82.26,81.69
2012-12-05,82.47,81.87,82.48,81.76
2012-12-06,82.41,82.46,82.61,82.18
2012-12-07,82.48,82.39,82.82,82.15
2012-12-10,82.36,82.35,82.63,82.09
2012-12-11,82.52,82.33,82.57,82.27
2012-12-12,83.25,82.51,83.29,82.45
2012-12-13,83.64,83.24,83.67,83.10
2012-12-14,83.48,83.64,83.96,83.30
2012-12-17,83.89,84.35,84.48,83.58
2012-12-18,84.20,83.86,84.27,83.79
2012-12-19,84.41,84.20,84.61,84.14
2012-12-20,84.38,84.40,84.45,83.83
2012-12-21,84.23,84.36,84.44,83.83
